tdulcet	tealdulcet.ddns.net
patter5	megmurry.ddns.net
relsqui	cupcake.chiliahedron.com
pyrrh	souffle.chiliahedron.com
aarong	TBD
mancat	inchworm.mindtax.net
dom	mahan.mindtax.net
brodie	solar.noip.me
chupacabra	chupa-cabra.ddns.net
paolo2	pirr.ddns.net
mrme	mrme.ddns.net
manpreet20	manpreet.ddns.net
huyng90	huyng90.ddns.net
rhatchet	pi.arenjae.com
natreed natreed.ddns.net
leng	lengpi.ddns.net
aldridge85	csjosh.ddns.net
etsai	etsai.ddns.net
jbucklin	jbucklin.ddns.net
echo	barton.cs.pdx.edu
mantron	mantron.ddns.net
jojen2	itsjonnyjyo.ddns.net
cort	wyeast.ddns.net
rubear	131.252.211.242
castlez	castlez.ddns.net
waspxor	TBA
quanah	quanah.duckdns.org
mattTighe	matthewtighe.ddns.net
jbrophy	jbrophy.ddns.net
ph6	TBA
zixuchen	TBD
lukekaz9	198.29.41.107
